feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aggregatilineales_Genus	Total.Worm.Count	Total.Worm.Count	0.0716255346084552	0.00802520591836642	165	3	1.02717454367532e-15	2.62443095909045e-12
vadinHA49_Genus	Total.Worm.Count	Total.Worm.Count	0.046439464332031	0.00553489501889145	165	2	2.48593904187434e-14	3.17578712599447e-11
Brucella	Total.Worm.Count	Total.Worm.Count	0.00976472390338259	0.00119448208599724	165	1	8.79941552650715e-14	5.62062666755652e-11
Bacillaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.00976472390338259	0.00119448208599724	165	1	8.79941552650728e-14	5.62062666755652e-11
Acinetobacter	Treatment	A+ T- P+	5.06525454357945	0.657852665307356	165	109	1.36552980800003e-12	6.63747901302043e-10
Tundrisphaera	Treatment	A+ T- P+	-5.33928306630955	0.695540839466126	165	117	1.55870348642358e-12	6.63747901302043e-10
Unknown_Family_Genus	Treatment	A- T+ P+	1.99049934304961	0.290620193512081	165	16	1.53687343146201e-10	5.04688561483435e-08
Vogesella	Treatment	A- T+ P+	5.28024613525684	0.771883522381929	165	74	1.60823566359592e-10	5.04688561483435e-08
Plesiomonas	Treatment	A- T- P+	-2.56949181458038	0.37664062722258	165	160	1.77776792694752e-10	5.04688561483435e-08
Plesiomonas	Treatment	A- T+ P+	-2.54328711857765	0.383347251772183	165	160	4.85016753077077e-10	1.23921780411193e-07
X67.14_Genus	Treatment	A- T- P+	3.68470241450429	0.562197137681061	165	84	7.41815659218387e-10	1.72303546300271e-07
Cloacibacterium	Treatment	A+ T- P+	-2.11290667425699	0.338580202090305	165	29	3.79504119625259e-09	8.08027521368781e-07
Pararhodobacter	Treatment	A+ T+ P+	0.59582108207414	0.0961911064979832	165	8	4.81230796499434e-09	9.45803603889273e-07
Pseudoxanthomonas	Treatment	A+ T+ P+	3.17356666168778	0.526435102483939	165	45	1.11563219944817e-08	2.03602876399291e-06
Roseomonas	Treatment	A+ T- P+	-3.46591697334913	0.585088133809185	165	128	1.88435930283206e-08	3.20969201249061e-06
Altererythrobacter	Total.Worm.Count	Total.Worm.Count	0.0437954209875616	0.00749656954918371	165	4	2.8262789873961e-08	4.51321425799815e-06
Pseudomonas	Treatment	A- T+ P+	1.95032212781034	0.339852522209414	165	165	4.69687586783615e-08	6.3160620222744e-06
Paracoccaceae_Genus	Treatment	A+ T- P+	-2.98210856003711	0.518898005039298	165	156	4.51061533866029e-08	6.3160620222744e-06
Cloacibacterium	Treatment	A+ T+ P+	-2.17683589834554	0.378007535882406	165	29	4.25932374246081e-08	6.3160620222744e-06
Vampirovibrionaceae_Genus	Treatment	A+ T+ P+	4.17999107410013	0.733024961881884	165	89	5.60834703191549e-08	7.16466333327203e-06
Ruminiclostridium	Total.Worm.Count	Total.Worm.Count	0.08904892717167	0.0157736923781226	165	6	7.39584710811029e-08	8.99828064820085e-06
Legionella	Treatment	A+ T- P+	-3.65570489930356	0.655174003417587	165	110	1.01515978662995e-07	1.13769596650587e-05
Plesiomonas	Treatment	A+ T- P+	-2.01987334737165	0.362119971964172	165	160	1.02414901094462e-07	1.13769596650587e-05
Flavihumibacter	Treatment	A+ T+ P+	2.61174949771737	0.478506305125634	165	35	1.81408124151302e-07	1.9312406550274e-05
Pseudomonas	Treatment	A+ T+ P+	1.94905225773804	0.358417758414162	165	165	1.9961218618785e-07	2.04003654283983e-05
Culicoidibacter	Treatment	A- T- P+	-3.33224186159285	0.621456762676522	165	162	2.85431372047625e-07	2.80491213685263e-05
Culicoidibacter	Treatment	A- T+ P+	-3.37775352906286	0.632522688335731	165	162	3.16182404492941e-07	2.88516444099809e-05
Gemmobacter	Treatment	A+ T- P+	-2.51841368666087	0.471099415088998	165	133	3.07875968004119e-07	2.88516444099809e-05
Cloacibacterium	Treatment	A- T+ P+	-1.86939489067324	0.358427593131014	165	29	5.63676636517133e-07	4.96618553896991e-05
Pseudomonas	Treatment	A- T- P+	1.71834378597948	0.333906833912036	165	165	7.74769447140946e-07	6.59845312481706e-05
Polymorphobacter	Treatment	A+ T+ P+	2.91509392636929	0.571258344228576	165	66	9.43366031317978e-07	7.77516196779818e-05
Rhodovarius	Treatment	A- T- P+	1.47639907044073	0.290019352800949	165	24	9.97249037850834e-07	7.96241028659025e-05
Halomonas	Treatment	A+ T- P+	2.31068937707864	0.456810402909144	165	53	1.15457309001689e-06	8.93919468179747e-05
Dinghuibacter	Treatment	A+ T- P+	-3.24039874891837	0.642540065231964	165	110	1.23651964369562e-06	9.29208144012445e-05
Cloacibacterium	Treatment	A- T- P+	-1.76738925094954	0.352156935693835	165	29	1.37967785421566e-06	0.000100716483357743
Uliginosibacterium	Treatment	A+ T- P+	1.61719783347576	0.323622632098229	165	20	1.51990194738109e-06	0.000107870818765519
Dechloromonas	Treatment	A+ T- P+	-4.19348092293443	0.849123934440276	165	129	1.97377359540074e-06	0.000136297068547267
Agromyces	Treatment	A- T- P+	-3.19931764194524	0.648977278655378	165	70	2.05255600364397e-06	0.000138007383929219
Polyangiia_Genus	Treatment	A+ T- P+	-1.23458167097865	0.251653865545233	165	14	2.28197150412206e-06	0.000145599117938624
Rhizobium	Treatment	A+ T+ P+	-3.52813189420794	0.719947645486028	165	71	2.33642420175484e-06	0.000145599117938624
Dietzia	Total.Worm.Count	Total.Worm.Count	0.0435862073353549	0.00887779202053229	165	3	2.24486108164526e-06	0.000145599117938624
Gemmobacter	Treatment	A- T- P+	-2.39004478072661	0.489990038994221	165	133	2.58376212228869e-06	0.000157178862439229
Sphaerotilus	Treatment	A+ T- P+	-3.01302830874376	0.620645671024244	165	34	2.85985288326419e-06	0.000169928467831163
Chitinibacter	Treatment	A+ T+ P+	1.82231858826291	0.377591271303459	165	47	3.24047959404989e-06	0.000188168758245397
Pseudomonas	Treatment	A+ T- P+	1.53725350664315	0.321033697895305	165	165	3.82027572350571e-06	0.000216906766079046
Paenirhodobacter	Treatment	A- T- P+	-2.86075277398994	0.607489112982175	165	127	5.38468027660383e-06	0.000299083871885278
Chthoniobacter	Treatment	A+ T+ P+	2.49496401469593	0.536043589635839	165	44	6.8085436358521e-06	0.000370124021055364
Candidatus_Megaira	Treatment	A+ T+ P+	2.50428008161515	0.538943763408979	165	64	7.03776355845154e-06	0.00037461428941341
Paenirhodobacter	Treatment	A+ T- P+	-2.70862835450443	0.584068538181471	165	127	7.31686730481181e-06	0.000381522366608044
Vibrio	Treatment	A+ T- P+	3.59437972829962	0.777464521355438	165	61	7.77613875345033e-06	0.000397360690301312
Polyangiia_Genus	Treatment	A- T+ P+	-1.22602894142279	0.266405681054665	165	14	8.50421546840287e-06	0.000426044520034693
Paucibacter	Treatment	A- T- P+	-2.06810014264934	0.451545660099676	165	163	9.3360509086181e-06	0.000458723270606139
