feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Cloacibacterium	Pathogen	Pathogen	-3.58606921682861	0.253824919462753	236	85	4.08103428476401e-33	4.73808080461102e-30
Plesiomonas	Pathogen	Pathogen	-2.71032948163556	0.255461227771547	236	230	1.07502749413058e-21	6.24053460342805e-19
Vogesella	Pathogen	Pathogen	3.50493332260259	0.353158373911134	236	74	1.41446994140454e-19	5.47399867323558e-17
Polymorphobacter	Pathogen	Pathogen	2.2357106554682	0.25129937946398	236	63	1.67067466221197e-16	4.84913320707023e-14
Rhodocyclaceae_Genus	Pathogen	Pathogen	2.17001773692577	0.245848532962984	236	66	2.67005412279621e-16	6.19986567313279e-14
Candidatus_Megaira	Pathogen	Pathogen	1.90463615625915	0.233848589661105	236	64	2.34180874853539e-14	4.53139992841597e-12
Halomonas	Pathogen	Pathogen	1.54994164614818	0.215640935151142	236	48	8.9599670450649e-12	1.48607453418862e-09
Pseudomonas	Pathogen	Pathogen	1.33822028888044	0.191730034953646	236	236	3.07709590904654e-11	4.46563543800379e-09
Caulobacter	Pathogen	Pathogen	-1.70535670356467	0.253852487479762	236	53	1.40941267986144e-10	1.81814235702126e-08
Flavobacterium	Pathogen	Pathogen	2.25540196043465	0.337068163807828	236	185	1.64236334524663e-10	1.90678384383133e-08
Chthoniobacter	Pathogen	Pathogen	1.51509068470389	0.228553983375036	236	43	2.34293039452354e-10	2.47285653458348e-08
Chitinivorax	Pathogen	Pathogen	1.41365433148978	0.225461174766498	236	44	1.74483740304396e-09	1.68813018744504e-07
Pirellulaceae_Genus	Pathogen	Pathogen	0.936431863212796	0.152658684186604	236	39	3.65994263439647e-09	3.26861030656485e-07
Paucibacter	Pathogen	Pathogen	-1.41504373055005	0.232804067373344	236	234	4.94779109220617e-09	4.10313247003669e-07
Vibrio	Pathogen	Pathogen	2.17492755594704	0.368768420616282	236	65	1.29283276398674e-08	1.00065255932573e-06
Beijerinckiaceae_Genus	Temperature	Temperature	1.19537851163089	0.210598561184599	236	59	4.09385908113187e-08	2.97060649574632e-06
Phreatobacter	Pathogen	Pathogen	-1.60911734584429	0.284415439199141	236	229	4.50017260125995e-08	3.07335317062517e-06
Rhizobium	Pathogen	Pathogen	-1.60301389097433	0.284937978350823	236	114	5.29364074019508e-08	3.41439827742583e-06
Citrobacter	Pathogen	Pathogen	0.940302261634085	0.168907654823701	236	34	7.13838149943113e-08	4.36192680044187e-06
Rubrivivax	Pathogen	Pathogen	1.86483012367074	0.337518412830925	236	118	8.81631644411598e-08	5.11787169580933e-06
Paenirhodobacter	Pathogen	Pathogen	-1.71638578051699	0.322193422294576	236	188	2.35675732447557e-07	1.30295012081721e-05
Comamonadaceae_Genus	Pathogen	Pathogen	2.30228186596376	0.436001411782053	236	131	2.96159367259738e-07	1.56291375176616e-05
Culicoidibacter	Antibiotics	Antibiotics	1.88762411445888	0.367861951398796	236	229	6.07763482601238e-07	3.06788436217408e-05
Shewanella	Pathogen	Pathogen	1.68315484764368	0.329033546988027	236	222	6.55565024647088e-07	3.17129580673029e-05
Culicoidibacter	Temperature	Temperature	-1.87986000588039	0.371273650730584	236	229	8.3960484227214e-07	3.74915854568444e-05
Gemmobacter	Pathogen	Pathogen	-1.40368636009647	0.276972774712762	236	194	8.21221474923e-07	3.74915854568444e-05
Acinetobacter	Pathogen	Pathogen	2.04928302072497	0.406433522255237	236	136	9.27742941374327e-07	3.98929464790961e-05
env.OPS_17_Genus	Pathogen	Pathogen	2.51397519213743	0.505429844701086	236	113	1.27697251431531e-06	4.94188363040027e-05
Azospira	Pathogen	Pathogen	0.856781707589743	0.172117226899204	236	27	1.2535959744181e-06	4.94188363040027e-05
Niveibacterium	Pathogen	Pathogen	-2.32759338078371	0.466650575754283	236	164	1.19654735939627e-06	4.94188363040027e-05
Vampirovibrionaceae_Genus	Pathogen	Pathogen	1.78442974738189	0.359862513596042	236	111	1.37123641971664e-06	5.1355015590033e-05
Bosea	Pathogen	Pathogen	-1.51375113565451	0.309554515764848	236	196	1.88318869812951e-06	6.83244399540111e-05
Pseudoduganella	Antibiotics	Antibiotics	-1.67188323523547	0.343207202800835	236	68	2.05267128673317e-06	7.22167079968851e-05
Rhodovarius	Pathogen	Pathogen	0.604531739687791	0.124512232014966	236	22	2.21048202223149e-06	7.54814596414928e-05
NS9_marine_group_Genus	Pathogen	Pathogen	1.5179601707997	0.31422068773216	236	60	2.47048606799743e-06	8.19495521412861e-05
Flavobacterium	Temperature	Temperature	-1.64229179291564	0.34085048069783	236	185	2.61718738607027e-06	8.44042932007662e-05
