feature	Oleiharenicola	Halomonas	Hyphomicrobiales_Incertae_Sedis_Genus	Pseudorhodoplanes	Pedosphaeraceae_Genus	Exiguobacterium	Parachlamydiaceae_Genus	Fluviicoccus	Dechloromonas	Rickettsiaceae_Genus	Rhodovarius	Chitinophagales_Genus	Culicoidibacter	Mycobacterium	Clostridium	SWB02	Noviherbaspirillum	Crenobacter	Blfdi19_Genus	Streptococcus	Rhodospirillales_Genus	Chloroflexaceae_Genus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Piscinibacter	Nitrospira	Rhodococcus	Frankiales_Genus	Bacillus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Pedomicrobium	Reyranella	JGI_0001001.H03	Obscuribacteraceae_Genus	Candidatus_Bealeia	Luteolibacter	Babeliaceae_Genus	Ideonella	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	Candidatus_Obscuribacter	Hyphomonadaceae_Genus	env.OPS_17_Genus	Lysobacter	Luteimonas	Terrimonas	Leuconostoc	Psychromonas	Sediminibacterium	Altererythrobacter	SM1A02	Acinetobacter	Rubrivivax	Deinococcus	Aeromonas	Larkinella	Burkholderia.Caballeronia.Paraburkholderia	Fimbriimonadaceae_Genus	Brevifollis	Pajaroellobacter	IS.44	Bacteroidia_Genus	Sphaerotilus	Pseudomonas	Brevibacterium	Kocuria	Marmoricola	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Armatimonadaceae_Genus	Alphaproteobacteria_Genus	Microscillaceae_Genus	Fimbriiglobus	Paludibaculum	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Flavobacterium	Gammaproteobacteria_Genus	Sphingomonas	Devosia	Saprospiraceae_Genus	Ilumatobacter	Chryseobacterium	Peptostreptococcus	Leeia	Brevundimonas	Chlamydiales_Genus	Emticicia	Agitococcus	Phreatobacter	Microtrichaceae_Genus	Ensifer	Novispirillum	Haliangiaceae_Genus	Paucibacter	Unknown_Family_Genus	Telmatocola	Paracoccaceae_Genus	Nocardia	Paenirhodobacter	Nitrosomonas	Uliginosibacterium	Novosphingobium	Comamonadaceae_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Gemmataceae_Genus	Polyangiia_Genus	P3OB.42	Limnobacter	A21b_Genus	Cetobacterium	Shinella	Sutterellaceae_Genus	Fluviicola	Hydrogenophaga	Legionella	Burkholderiales_Genus	AAP99	SM2D12_Genus	Turicibacter	Chitinilyticum	Rickettsiella	Stagnimonas	Vibrio	Roseomonas	Candidatus_Ovatusbacter	Vampirovibrio	Shewanella	Bryobacteraceae_Genus	Granulicatella	Sphingobium	Dinghuibacter	IMCC26207	Truepera	Caulobacter	Tetragenococcus	Abditibacterium	Chitinivorax	Enterovirga	Saccharimonadales_Genus	Fundidesulfovibrio	Neochlamydia	Sandaracinaceae_Genus	Leucobacter	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Phenylobacterium	Opitutaceae_Genus	Gordonia	Anaerovorax	Micavibrionales_Genus	X37.13_Genus	Microtrichales_Genus	Paracoccus	Sphingopyxis	Rhizorhapis	Gaiellales_Genus	Cytophagales_Genus	Kinneretia	X0319.6G20_Genus	Lactobacillus	Marinomonas	cvE6_Genus	Pir4_lineage	JG30.KF.CM45_Genus	Candidatus_Nomurabacteria_Genus	mle1.27_Genus	Methylibium	Polymorphobacter	Dyadobacter	Caedibacter	Aquihabitans	Chitinophagaceae_Genus	Agromyces	Bosea	LiUU.11.161_Genus	Undibacterium	Pararhodobacter	Ligilactobacillus	Stella	Neisseriaceae_Genus	TM7a	Mariniblastus	Holosporaceae_Genus	Parvibium	Afipia	Pseudolysobacter	Arthrospira_PCC.7345	Citrobacter	Loigolactobacillus	Glutamicibacter	Rhizobium	Rothia	Candidatus_Megaira	alphaI_cluster	Runella	NS11.12_marine_group_Genus	Blastococcus	Dietzia	Candidatus_Finniella	Cellvibrio	Candidatus_Alysiosphaera	Geminicoccaceae_Genus	Bacilli_Genus	Gemmatimonas	TRA3.20_Genus	Aquicella	KD4.96_Genus	Curvibacter	Brucella	Gemmata	CM1G08	Bradyrhizobium	Nocardioides	Aerococcus	Chloracidobacterium	Staphylococcus	Vicinamibacteraceae_Genus	Flavihumibacter	Kineosporiaceae_Genus	PB19_Genus	Anaerocolumna	Candidatus_Paracaedibacter	Thermodesulfobacteriota_Genus	Rhizorhabdus	Bdellovibrio	BIrii41_Genus	Kapabacteriales_Genus	SH3.11	Dechlorobacter	Aeromicrobium	CL500.3	Ruminiclostridium	Aquabacterium	Sphingomonadaceae_Genus	DEV007_Genus	Pyrinomonadaceae_Genus	Nevskiaceae_Genus	Vagococcus	Acetobacteroides	Variovorax	Blastocatella	Bryobacter	Trueperella	Ottowia	Oscillospiraceae_Genus	Oligoflexaceae_Genus	Stenotrophomonas	bacteriap25_Genus	Pirellula	Sandaracinus	Babeliales_Genus	Weeksellaceae_Genus	X67.14_Genus	Malacoplasma	RBG.13.54.9_Genus	Blastomonas	PeM15_Genus	Cypionkella	Caldilineaceae_Genus	OM190_Genus	Cloacibacterium	Enterococcus	Allomeiothermus	Paraconexibacter	Silvanigrellaceae_Genus	Defluviimonas	Microbulbifer	Rheinheimera	Ellin6055	Terrisporobacter	Rhodovastum	Massilia	Parageobacillus	X11.24_Genus	Thermomicrobiales_Genus	Chloronema	Fuscovulum	Paraclostridium	Pseudomonadales_Genus	Methylorubrum	Candidatus_Captivus	Weissella	Gemmobacter	MBNT15_Genus	Brevitalea	Rhizobiaceae_Genus	Spirosomataceae_Genus	Sporichthyaceae_Genus	Gemmatimonadaceae_Genus	Rhodocyclaceae_Genus	Vibrionaceae_Genus	Rhodopseudomonas	Planococcus	Armatimonadota_Genus	Thermoactinomycetaceae_Genus	DEV114	Simkaniaceae_Genus	Azospira	Eremiobacteria_Genus	Hirschia	Plesiomonas	Knoellia	Anoxybacillus	OLB12	Thermus	Sporomusaceae_Genus	Chitinimonas	Levilactobacillus	Lysinibacillus	Frisingicoccus	Lactococcus	Rhodospirillaceae_Genus	Raineya	Barnesiellaceae_Genus	NB1.j_Genus	Acidovorax	Pirellulaceae_Genus	Ferruginibacter	Methylobacterium	Pediococcus	Peptoniphilus	Methylocystis	Mesorhizobium	Hyphomicrobiales_Genus	Hassallia	Nannocystis	WY65	Chthoniobacter	Turneriella	Permianibacter	Pseudoduganella	Nordella	Sporocytophaga	Delftia	Steroidobacter	Elstera	Longivirga	Latilactobacillus	Serinicoccus	Roseicella	Tundrisphaera	IMCC26134	Parcubacteria_Genus	Pseudoxanthomonas	Vogesella	Flectobacillus	Desulfotomaculum	Rubripirellula	Candidatus_Accumulibacter	KD3.10	Lacibacter	Propionivibrio	Peptostreptococcaceae_Genus	Romboutsia	Opitutus	Enhydrobacter	AKYH767_Genus	Lautropia	Methyloversatilis	Bordetella	Haliscomenobacter	Dongia	Ramlibacter	Panacibacter	Niveibacterium	Elsteraceae_Genus	Perlucidibaca	Coxiella	Acetivibrio	Polyangiaceae_Genus	Aurantisolimonas	Agrobacterium	Anaerotaenia	Limosilactobacillus	CL500.29_marine_group
f16	0	0	0	0	8	0	0	8	737	0	0	0	3617	7	5	0	0	1869	0	0	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	30	0	8	58283	0	4	0	0	0	0	56	0	3289	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	777	121	0	0	0	0	0	0	0	0	0	71	16	151	0	0	0	5	3560	0	0	209	0	52	0	0	0	0	0	0	0	0	0	0	0	5	581	0	232	225	0	21	0	0	0	0	356	0	0	0	16	0	0	434	0	0	0	46	6	0	5	0	0	0	0	0	0	0	0	0	3	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	32	0	115	0	0	0	0	0	0	4	0	0	0	0	0	0	27	14	0	0	0	0	0	9	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	11	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	4	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3996	0	0	0	0	0	120	0	0	0	0
f17	0	0	71	0	23	0	0	0	1877	0	0	0	4054	38	140	0	0	3073	0	8	0	0	0	0	0	0	0	19	0	0	33	0	5	0	0	0	0	0	0	0	0	0	0	24	0	0	2	0	0	0	0	0	0	0	0	29	44	0	27387	0	0	0	0	0	0	0	0	978	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	163	304	0	0	0	0	0	0	0	0	23	0	0	1116	0	99	0	0	1787	0	0	1410	0	496	0	0	0	0	0	0	0	19	0	0	0	0	6272	0	313	146	0	110	0	0	0	0	396	0	0	5	330	0	0	170	0	0	0	426	22	0	5	0	0	0	0	0	0	5	0	0	0	0	31	0	0	7	0	0	0	0	0	0	0	0	0	0	26	0	0	0	5	2	0	0	0	0	0	0	107	0	4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	20	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	3	0	0	0	9	0	0	16	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	0	0	0	0	0	785	0	0	0	0
f18	0	0	0	0	0	0	0	0	358	0	0	0	1927	7	30	0	0	1269	0	9	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	50350	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	41	0	0	0	0	0	0	0	0	8	0	0	192	0	9	0	0	220	0	0	184	0	101	0	0	0	0	0	0	0	0	0	0	0	0	4352	0	65	0	0	20	0	0	0	0	166	0	0	0	55	0	0	242	0	0	0	74	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	112	0	0	0	0
f19	0	0	2	0	5	0	0	0	935	0	0	0	3942	13	4	0	0	2664	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	17	0	39100	0	0	0	0	0	0	0	0	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	177	0	0	0	0	0	0	0	0	8	0	0	659	0	17	0	0	2319	0	0	666	0	151	0	0	0	0	0	0	0	3	0	0	0	0	6376	0	323	185	0	41	0	0	0	0	344	0	0	0	166	0	0	111	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	50	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	354	0	0	0	0
f20	0	0	98	8	50	0	3	0	2893	0	0	0	4373	155	9	0	0	3590	0	0	0	0	0	0	0	0	0	37	0	0	37	0	5	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	4	0	0	0	0	0	0	29	53	0	21442	0	0	0	0	0	0	0	0	1681	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	219	573	0	20	0	0	0	0	0	0	69	0	0	1679	0	295	0	0	4821	0	0	2016	30	1077	0	0	0	0	0	0	0	15	0	0	0	0	5772	0	463	297	0	175	0	0	0	0	225	0	0	0	538	0	0	133	0	0	0	666	30	0	10	0	0	0	0	0	0	7	0	0	0	0	25	0	0	22	0	0	0	8	0	0	0	0	3	0	20	0	0	0	20	5	0	0	0	0	0	0	174	0	11	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	27	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	37	0	0	37	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	91	28	0	0	0	0	503	4	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1065	0	0	0	0	0	1202	0	0	0	0
f46	36	0	75	0	558	0	0	0	1627	0	0	0	211	185	656	25	0	558	0	0	0	0	0	0	0	18	93	92	0	0	258	13	35	22	0	21	0	35	0	0	0	0	143	57	221	0	994	0	95	0	0	0	88	0	0	0	0	0	19774	0	0	3	30	34	0	190	156	2384	0	122	0	4	0	106	10	0	0	38	0	33	355	3	0	0	519	227	0	6	223	0	0	0	0	0	0	57	210	1208	0	88	0	1805	1434	0	86	2543	50	265	131	0	13	310	0	79	0	101	38	8	0	0	3008	0	222	158	66	172	6	0	0	0	35	0	0	0	120	0	0	22	0	0	0	605	18	0	51	0	0	0	0	0	0	0	76	0	2239	6	0	0	9	158	0	0	0	0	12	8	4	0	4524	0	20	0	0	0	19	4	0	18	0	0	0	0	54	4	0	132	0	435	0	0	0	0	0	0	0	0	0	68	0	0	0	10	308	0	0	19	31	0	0	0	0	295	0	0	0	0	0	0	0	17	0	118	0	178	10	0	0	0	41	0	0	0	0	23	0	0	100	48	61	0	0	0	0	0	107	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	58	3	0	0	0	0	0	0	0	0	0	320	86	0	0	4	0	0	0	5	0	0	0	0	0	4	0	0	71	0	0	0	0	0	1444	3	0	46	0	0	16	0	0	16	0	0	0	0	0	0	53	6	109	0	0	43	0	243	0	0	0	0	0	0	0	6	9	56	0	0	0	0	0	0	0	0	47	0	13	0	22	0	10	17	0	0	0	1178	19	0	0	4	981	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	631	0	0	0	574	0	0	0	0	0	434	0	0	0	0
f47	0	0	31	0	3	0	0	0	1178	0	0	0	289	156	197	0	0	679	0	6	0	0	0	0	0	0	0	0	0	0	33	0	10	7	0	16	0	11	0	0	0	0	0	50	72	0	0	0	0	0	0	0	0	0	0	0	0	0	50029	0	0	0	0	0	0	0	0	3930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	281	0	0	0	0	0	0	0	0	0	0	0	1028	0	67	0	0	1396	0	0	2325	13	160	0	0	0	0	0	0	0	0	0	0	0	0	457	0	190	143	0	256	0	0	0	0	176	0	0	0	85	0	0	49	0	0	0	698	22	0	79	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	24	0	15	0	0	0	0	3	0	0	0	0	0	0	43	0	0	127	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	11	0	124	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	47	0	3	0	0	0	0	0	0	0	0	0	941	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1149	8	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	728	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	521	0	0	0	0
f48	158	0	33	0	60	0	0	0	1430	0	0	0	47	645	16	8	0	831	0	6	0	0	31	0	0	0	53	255	0	0	0	0	41	0	0	0	0	0	0	0	16	0	66	14	49	0	562	42	654	0	0	0	135	0	0	0	0	0	4433	0	0	0	21	5	0	836	312	6091	0	0	0	0	0	9	3342	24	0	0	0	0	0	0	0	0	93	134	19	0	20	0	0	0	73	0	0	1048	0	839	13	54	0	540	7062	0	0	303	173	224	65	0	153	690	0	29	0	91	13	0	0	0	229	0	0	230	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	24	0	228	0	0	14	0	128	0	0	0	0	56	0	0	0	263	0	3	0	0	0	0	9	0	36	0	0	0	0	0	58	0	83	0	3281	0	0	0	39	0	0	0	0	0	0	0	0	0	0	32	0	0	0	151	0	34	0	0	3620	0	0	0	0	0	0	0	0	0	104	0	41	48	0	0	0	3	0	0	0	0	0	0	0	3903	7	5	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	25	0	0	0	36	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	42	0	0	1610	0	0	0	0	0	0	0	0	0	0	0	0	48	25	37	0	0	0	0	54	0	0	0	0	0	0	0	0	0	66	0	44	0	0	0	0	0	0	0	0	0	0	21	0	5169	0	0	0	0	58	0	0	0	0	176	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	4845	7	0	0	0	0	54	0	0	0	0
f49	0	0	9	0	21	0	0	0	538	0	0	0	669	103	239	0	0	1112	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	24	0	27	0	0	0	0	0	76	64	0	0	0	0	0	0	0	0	0	0	0	14	0	75043	0	0	0	0	0	0	0	0	2078	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	129	227	2	0	0	0	0	0	0	0	0	0	0	570	0	29	0	0	1540	0	0	1610	0	122	0	0	0	0	0	0	0	21	0	0	0	0	1017	0	282	192	0	148	0	0	0	0	309	0	0	0	59	0	0	104	0	0	0	361	18	0	37	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	14	0	0	0	0	0	0	0	44	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	5	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	5	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	6	0	0	4	0	0	7	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	320	0	0	0	0
f50	0	0	0	0	0	0	0	0	546	0	0	0	173	26	22	0	0	198	0	16	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0	0	0	0	0	0	0	0	54174	0	0	0	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	35	0	0	0	0	0	0	0	0	0	0	0	135	0	18	0	0	295	0	0	414	0	38	0	0	0	0	0	0	0	4	0	0	0	0	297	0	49	45	0	60	17	0	0	0	132	0	0	0	0	0	0	19	0	0	0	161	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	18	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	87	0	0	0	0
