feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aggregatilineales_Genus	Total.Worm.Count	Total.Worm.Count	0.0168953448756466	0.00197139270604898	73	1	1.62780955760665e-12	2.14328258418213e-10
Dietzia	Total.Worm.Count	Total.Worm.Count	0.0168953448756465	0.00197139270604898	73	1	1.62780955760668e-12	2.14328258418213e-10
Brucella	Total.Worm.Count	Total.Worm.Count	0.0168953448756465	0.00197139270604898	73	1	1.62780955760668e-12	2.14328258418213e-10
Bacillaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.0168953448756465	0.00197139270604898	73	1	1.62780955760668e-12	2.14328258418213e-10
Altererythrobacter	Total.Worm.Count	Total.Worm.Count	0.0168953448756465	0.00197139270604898	73	1	1.62780955760667e-12	2.14328258418213e-10
vadinHA49_Genus	Total.Worm.Count	Total.Worm.Count	0.0168953448756465	0.00197139270604898	73	1	1.62780955760668e-12	2.14328258418213e-10
Plesiomonas	Treatment	A- T- P+	-2.86484808953863	0.354855563135597	73	72	1.33882097988042e-11	1.51095510586504e-09
Culicoidibacter	Treatment	A- T- P+	-3.72511210792143	0.542174009553161	73	72	2.14737396738812e-09	2.12053179279577e-07
Acetobacteroides	Total.Worm.Count	Total.Worm.Count	0.101510838517651	0.0172591293250518	73	7	1.26614323842134e-07	1.11139239816984e-05
X67.14_Genus	Treatment	A- T- P+	3.64371858668147	0.627425665112077	73	35	1.70772262658476e-07	1.34910087500196e-05
Vogesella	Treatment	A- T- P+	3.55677748212688	0.663453161629474	73	26	1.00764180661377e-06	7.23670024749889e-05
Ruminiclostridium	Total.Worm.Count	Total.Worm.Count	0.15407628011382	0.0288915294337421	73	6	1.12485742144117e-06	7.40531135782103e-05
Paucibacter	Treatment	A- T- P+	-2.33862142153212	0.467336120500568	73	72	4.01252394605222e-06	0.000243837993644712
Paenirhodobacter	Treatment	A- T- P+	-3.03302471118643	0.610362005014883	73	56	4.58436280172716e-06	0.000258689043811747
Polymorphobacter	Treatment	A- T- P+	2.42303859283198	0.492154245850619	73	22	5.45810684151762e-06	0.000287460293653261
Vampirovibrionaceae_Genus	Treatment	A- T- P+	3.46365291036479	0.727517024456614	73	37	1.00638219643413e-05	0.000482644900570147
Babeliaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.041279361587993	0.00868583179873574	73	2	1.03860295059399e-05	0.000482644900570147
Halomonas	Treatment	A- T- P+	1.64044705874437	0.361193620077149	73	20	2.26498859718282e-05	0.000994078328763573
Gemmobacter	Treatment	A- T- P+	-2.18550392474715	0.490047008935462	73	58	3.05360376856423e-05	0.00126965630377144
Microtrichaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.0579297426170092	0.0130389699169668	73	6	3.24740013784141e-05	0.00128272305444736
Staphylococcus	Total.Worm.Count	Total.Worm.Count	0.0821242812354921	0.0187182590975473	73	5	3.96720366076453e-05	0.00149242423428761
Candidatus_Megaira	Treatment	A- T- P+	2.0510966774374	0.488320557175099	73	22	7.72616536736177e-05	0.00277439574555263
Pseudomonas	Treatment	A- T- P+	1.66750690368392	0.401172275581449	73	73	9.00944020739121e-05	0.00309454685384307
Agromyces	Treatment	A- T- P+	-3.13970039291291	0.774963959031662	73	27	0.000129938294292992	0.00427713552047765
Chitinivorax	Total.Worm.Count	Total.Worm.Count	0.135388533173893	0.0345892473330967	73	12	0.000207973169024561	0.00657195214117612
Acinetobacter	Treatment	A- T- P+	2.60807023765678	0.674378331330352	73	47	0.000243675856363287	0.00724669500007071
